"SK_ID_CURR","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_TYPE_SUITE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","REGION_POPULATION_RELATIVE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_REGISTRATION","DAYS_ID_PUBLISH","OWN_CAR_AGE","FLAG_MOBIL","FLAG_EMP_PHONE","FLAG_WORK_PHONE","FLAG_CONT_MOBILE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","REGION_RATING_CLIENT","REGION_RATING_CLIENT_W_CITY","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","REG_REGION_NOT_LIVE_REGION","REG_REGION_NOT_WORK_REGION","LIVE_REGION_NOT_WORK_REGION","REG_CITY_NOT_LIVE_CITY","REG_CITY_NOT_WORK_CITY","LIVE_CITY_NOT_WORK_CITY","ORGANIZATION_TYPE","EXT_SOURCE_1","EXT_SOURCE_2","EXT_SOURCE_3","APARTMENTS_AVG","BASEMENTAREA_AVG","YEARS_BEGINEXPLUATATION_AVG","YEARS_BUILD_AVG","COMMONAREA_AVG","ELEVATORS_AVG","ENTRANCES_AVG","FLOORSMAX_AVG","FLOORSMIN_AVG","LANDAREA_AVG","LIVINGAPARTMENTS_AVG","LIVINGAREA_AVG","NONLIVINGAPARTMENTS_AVG","NONLIVINGAREA_AVG","APARTMENTS_MODE","BASEMENTAREA_MODE","YEARS_BEGINEXPLUATATION_MODE","YEARS_BUILD_MODE","COMMONAREA_MODE","ELEVATORS_MODE","ENTRANCES_MODE","FLOORSMAX_MODE","FLOORSMIN_MODE","LANDAREA_MODE","LIVINGAPARTMENTS_MODE","LIVINGAREA_MODE","NONLIVINGAPARTMENTS_MODE","NONLIVINGAREA_MODE","APARTMENTS_MEDI","BASEMENTAREA_MEDI","YEARS_BEGINEXPLUATATION_MEDI","YEARS_BUILD_MEDI","COMMONAREA_MEDI","ELEVATORS_MEDI","ENTRANCES_MEDI","FLOORSMAX_MEDI","FLOORSMIN_MEDI","LANDAREA_MEDI","LIVINGAPARTMENTS_MEDI","LIVINGAREA_MEDI","NONLIVINGAPARTMENTS_MEDI","NONLIVINGAREA_MEDI","FONDKAPREMONT_MODE","HOUSETYPE_MODE","TOTALAREA_MODE","WALLSMATERIAL_MODE","EMERGENCYSTATE_MODE","OBS_30_CNT_SOCIAL_CIRCLE","DEF_30_CNT_SOCIAL_CIRCLE","OBS_60_CNT_SOCIAL_CIRCLE","DEF_60_CNT_SOCIAL_CIRCLE","DAYS_LAST_PHONE_CHANGE","FLAG_DOCUMENT_2","FLAG_DOCUMENT_3","FLAG_DOCUMENT_4","FLAG_DOCUMENT_5","FLAG_DOCUMENT_6","FLAG_DOCUMENT_7","FLAG_DOCUMENT_8","FLAG_DOCUMENT_9","FLAG_DOCUMENT_10","FLAG_DOCUMENT_11","FLAG_DOCUMENT_12","FLAG_DOCUMENT_13","FLAG_DOCUMENT_14","FLAG_DOCUMENT_15","FLAG_DOCUMENT_16","FLAG_DOCUMENT_17","FLAG_DOCUMENT_18","FLAG_DOCUMENT_19","FLAG_DOCUMENT_20","FLAG_DOCUMENT_21","AMT_REQ_CREDIT_BUREAU_HOUR","AMT_REQ_CREDIT_BUREAU_DAY","AMT_REQ_CREDIT_BUREAU_WEEK","AMT_REQ_CREDIT_BUREAU_MON","AMT_REQ_CREDIT_BUREAU_QRT","AMT_REQ_CREDIT_BUREAU_YEAR","bureau_loan_count","bureau_active_loans","bureau_closed_loans","bureau_sold_loans","bureau_bad_debt_loans","bureau_month_min","bureau_month_max","bureau_month_mean","bureau_total_credit","bureau_avg_credit","bureau_max_credit","bureau_min_credit","bureau_oldest_credit","bureau_latest_credit","bureau_avg_credit_age","bureau_total_credit_limit","bureau_avg_credit_limit","bureau_credit_prolong_count","bureau_last_update","bureau_avg_end_date","bureau_total_debt","bureau_avg_debt","bureau_max_debt","bureau_total_overdue","bureau_avg_overdue","bureau_max_overdue","bureau_overdue_months","bureau_ever_overdue","bureau_total_status0","bureau_total_status1","bureau_total_status2","bureau_total_status3","bureau_total_status4","bureau_total_status5","bureau_max_status","bureau_avg_status","bureau_closed_months","prev_application_count","prev_total_application_amount","prev_avg_application_amount","prev_max_application_amount","prev_total_credit","prev_avg_credit","prev_max_credit","prev_approved_count","prev_refused_count","prev_canceled_count","prev_unused_offer_count","prev_last_application_days","prev_first_application_days","prev_avg_application_days","prev_avg_down_payment","prev_max_down_payment","prev_avg_annuity","prev_max_annuity","prev_avg_goods_price","prev_total_goods_price","prev_avg_seller_area","prev_avg_payment_term","prev_max_payment_term","inst_total_instalment","inst_avg_instalment","inst_max_instalment","inst_total_payment","inst_avg_payment","inst_max_payment","inst_min_payment","inst_avg_delay","inst_max_delay","inst_late_payment_count","inst_avg_payment_ratio","inst_min_payment_ratio","inst_underpaid_count","inst_count","inst_max_installment_number","cc_card_count","cc_total_balance","cc_avg_balance","cc_max_balance","cc_avg_credit_limit","cc_max_credit_limit","cc_avg_utilization","cc_max_utilization","cc_total_atm_drawings","cc_avg_atm_drawings","cc_total_drawings","cc_avg_drawings","cc_total_payment","cc_avg_payment","cc_max_payment","cc_avg_receivable","cc_max_receivable","cc_avg_installment","cc_max_installment","cc_avg_dpd","cc_max_dpd","cc_late_payment_count","cc_serious_dpd_count","cc_oldest_record","cc_latest_record","pos_loan_count","pos_oldest_record","pos_latest_record","pos_avg_instalment","pos_max_instalment","pos_avg_future_instalment","pos_max_future_instalment","pos_avg_dpd","pos_max_dpd","pos_avg_dpd_def","pos_max_dpd_def","pos_late_payment_count","pos_serious_dpd_count","pos_active_contracts","pos_completed_contracts","pos_signed_contracts","pos_demand_contracts"
"100002","Cash loans","M","N","Y","0","202500.0","406597.5","24700.5","351000.0","Unaccompanied","Working","Secondary / secondary special","Single / not married","House / apartment","0.018801","-9461","-637.0","-3648.0","-2120","","1","1","0","1","1","0","Laborers","1.0","2","2","WEDNESDAY","10","0","0","0","0","0","0","Business Entity Type 3","0.0830369673913225","0.2629485927471776","0.1393757800997895","0.0247","0.0369","0.9722","0.6192","0.0143","0.0","0.069","0.0833","0.125","0.0369","0.0202","0.019","0.0","0.0","0.0252","0.0383","0.9722","0.6341","0.0144","0.0","0.069","0.0833","0.125","0.0377","0.022","0.0198","0.0","0.0","0.025","0.0369","0.9722","0.6243","0.0144","0.0","0.069","0.0833","0.125","0.0375","0.0205","0.0193","0.0","0.0","reg oper account","block of flats","0.0149","Stone, brick","No","2.0","2.0","2.0","2.0","-1134.0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","1.0","8.0","2.0","6.0","0.0","0.0","-47.0","0.0","-21.875","865055.565","108131.945625","450000.0","0.0","-1437.0","-103.0","-874.0","31988.565","7997.14125","0.0","-7.0","-349.0","245781.0","49156.2","245781.0","0.0","0.0","0.0","27.0","1.0","45.0","27.0","0.0","0.0","0.0","0.0","1.0","0.2556818181818182","23.0","1.0","179055.0","179055.0","179055.0","179055.0","179055.0","179055.0","1.0","0.0","0.0","0.0","-606.0","-606.0","-606.0","0.0","0.0","9251.775","9251.775","179055.0","179055.0","500.0","24.0","24.0","219625.695","11559.24710526316","53093.745","219625.695","11559.24710526316","53093.745","9251.775","-20.42105263157895","-12.0","0.0","1.0","1.0","0.0","19.0","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","-19.0","-1.0","24.0","24.0","15.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","0.0","0.0","0.0"
"100003","Cash loans","F","N","N","0","270000.0","1293502.5","35698.5","1129500.0","Family","State servant","Higher education","Married","House / apartment","0.0035409999999999","-16765","-1188.0","-1186.0","-291","","1","1","0","1","1","0","Core staff","2.0","1","1","MONDAY","11","0","0","0","0","0","0","School","0.3112673113812225","0.6222457752555098","","0.0959","0.0529","0.9851","0.7959999999999999","0.0605","0.08","0.0345","0.2917","0.3333","0.013","0.0773","0.0549","0.0039","0.0098","0.0924","0.0538","0.9851","0.804","0.0497","0.0806","0.0345","0.2917","0.3333","0.0128","0.079","0.0554","0.0","0.0","0.0968","0.0529","0.9851","0.7987","0.0608","0.08","0.0345","0.2917","0.3333","0.0132","0.0787","0.0558","0.0039","0.01","reg oper account","block of flats","0.0714","Block","No","1.0","0.0","1.0","0.0","-828.0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","1.0","3.0","0.0","0.0","","","","1017400.5","254350.125","810000.0","22248.0","-2586.0","-606.0","-1400.75","810000.0","202500.0","0.0","-43.0","-544.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","3.0","1306309.5","435436.5","900000.0","1452573.0","484191.0","1035882.0","3.0","0.0","0.0","0.0","-746.0","-2341.0","-1305.0","3442.5","6885.0","56553.99","98356.995","435436.5","1306309.5","533.0","10.0","12.0","1618864.65","64754.586","560835.36","1618864.65","64754.586","560835.36","6662.97","-7.16","-1.0","0.0","1.0","1.0","0.0","25.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","-77.0","-18.0","10.107142857142858","12.0","5.785714285714286","12.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","2.0","0.0","0.0"
"100004","Revolving loans","M","Y","Y","0","67500.0","135000.0","6750.0","135000.0","Unaccompanied","Working","Secondary / secondary special","Single / not married","House / apartment","0.010032","-19046","-225.0","-4260.0","-2531","26.0","1","1","1","1","1","0","Laborers","1.0","2","2","MONDAY","9","0","0","0","0","0","0","Government","","0.5559120833904428","0.7295666907060153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","-815.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","","","","189037.8","94518.9","94537.8","94500.0","-1326.0","-408.0","-867.0","0.0","0.0","0.0","-382.0","-488.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","1.0","24282.0","24282.0","24282.0","20106.0","20106.0","20106.0","1.0","0.0","0.0","0.0","-815.0","-815.0","-815.0","4860.0","4860.0","5357.25","5357.25","24282.0","24282.0","30.0","4.0","4.0","21288.465","7096.155","10573.965","21288.465","7096.155","10573.965","5357.25","-7.666666666666667","-3.0","0.0","1.0","1.0","0.0","3.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","-27.0","-24.0","3.75","4.0","2.25","4.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","0.0"
"100006","Cash loans","F","N","Y","0","135000.0","312682.5","29686.5","297000.0","Unaccompanied","Working","Secondary / secondary special","Civil marriage","House / apartment","0.008019","-19005","-3039.0","-9833.0","-2437","","1","1","0","1","0","0","Laborers","2.0","2","2","WEDNESDAY","17","0","0","0","0","0","0","Business Entity Type 3","","0.6504416904014653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","0.0","2.0","0.0","-617.0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","2449829.34","272203.26","688500.0","2625259.5","291695.5","906615.0","5.0","1.0","3.0","0.0","-181.0","-617.0","-272.44444444444446","34840.17","66987.0","23651.175","39954.51","408304.89","2449829.34","894.2222222222222","23.0","48.0","1007153.415","62947.0884375","691786.89","1007153.415","62947.0884375","691786.89","2482.92","-19.375","-1.0","0.0","1.0","1.0","0.0","16.0","10.0","1.0","0.0","0.0","0.0","270000.0","270000.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-6.0","-1.0","3.0","-20.0","-1.0","12.0","48.0","8.65","48.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0","2.0","0.0","0.0"
"100007","Cash loans","M","N","Y","0","121500.0","513000.0","21865.5","513000.0","Unaccompanied","Working","Secondary / secondary special","Single / not married","House / apartment","0.028663","-19932","-3038.0","-4311.0","-3458","","1","1","0","1","0","0","Core staff","1.0","2","2","THURSDAY","11","0","0","0","0","1","1","Religion","","0.3227382869704046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","-1106.0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","","","","146250.0","146250.0","146250.0","146250.0","-1149.0","-1149.0","-1149.0","0.0","0.0","0.0","-783.0","-783.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","6.0","903181.5","150530.25","247500.0","999832.5","166638.75","284400.0","6.0","0.0","0.0","0.0","-374.0","-2357.0","-1222.8333333333333","3390.75","3676.5","12278.805","22678.785","150530.25","903181.5","409.1666666666667","20.666666666666668","48.0","835985.34","12666.444545454546","22678.785","806127.975","12214.060227272726","22678.785","0.18","-3.636363636363636","12.0","16.0","0.9545454545454546","5.032079506856208e-05","6.0","66.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","-77.0","-1.0","15.333333333333334","24.0","8.969696969696969","24.0","0.0","0.0","0.0","0.0","0.0","0.0","62.0","3.0","1.0","0.0"
"100008","Cash loans","M","N","Y","0","99000.0","490495.5","27517.5","454500.0","Spouse, partner","State servant","Secondary / secondary special","Married","House / apartment","0.035792","-16941","-1588.0","-4970.0","-477","","1","1","1","1","1","0","Laborers","2.0","2","2","WEDNESDAY","16","0","0","0","0","0","0","Other","","0.3542247319929012","0.6212263380626669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","-2536.0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1.0","1.0","3.0","1.0","2.0","0.0","0.0","","","","468445.5","156148.5","267606.0","95134.5","-1097.0","-78.0","-757.3333333333334","0.0","0.0","0.0","-16.0","-391.3333333333333","240057.0","80019.0","240057.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","5.0","778509.0","155701.8","450000.0","813838.5","162767.7","501975.0","4.0","0.0","1.0","0.0","-82.0","-2536.0","-1192.0","5548.5","12145.5","15839.69625","25309.575","194627.25","778509.0","73.0","14.0","30.0","969603.75","27702.964285714286","432218.295","957617.595","27360.502714285714","432218.295","227.16","26.114285714285717","1317.0","1.0","0.9714285714285714","0.0189518657150687","2.0","35.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","-84.0","-2.0","11.518072289156626","30.0","4.108433734939759","30.0","339.06024096385545","1294.0","0.0","0.0","43.0","0.0","78.0","4.0","1.0","0.0"
"100009","Cash loans","F","Y","Y","1","171000.0","1560726.0","41301.0","1395000.0","Unaccompanied","Commercial associate","Higher education","Married","House / apartment","0.035792","-13778","-3130.0","-1213.0","-619","17.0","1","1","0","1","1","0","Accountants","3.0","2","2","SUNDAY","16","0","0","0","0","0","0","Business Entity Type 3","0.7747614130547695","0.7239998516953141","0.4920600938649263","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","0.0","1.0","0.0","-1562.0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0.0","0.0","0.0","1.0","1.0","2.0","18.0","4.0","14.0","0.0","0.0","","","","4800811.5","266711.75","1777500.0","35770.5","-2882.0","-239.0","-1271.5","0.0","0.0","0.0","-23.0","-794.9375","1077349.5","76953.53571428571","557959.5","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","7.0","537192.0","76741.71428571429","110160.0","490963.5","70137.64285714286","98239.5","7.0","0.0","0.0","0.0","-74.0","-1562.0","-719.2857142857143","9203.142857142857","22032.0","10051.412142857142","17341.605","76741.71428571429","537192.0","170.0","8.0","12.0","487995.12","9568.531764705882","17341.605","487995.12","9568.531764705882","17341.605","6155.28","-8.588235294117647","7.0","1.0","1.0","1.0","0.0","51.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","-96.0","-1.0","7.875","12.0","3.78125","12.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0","7.0","0.0","0.0"
"100010","Cash loans","M","Y","Y","0","360000.0","1530000.0","42075.0","1530000.0","Unaccompanied","State servant","Higher education","Married","House / apartment","0.0031219999999999","-18850","-449.0","-4597.0","-2379","8.0","1","1","1","1","0","0","Managers","2.0","3","3","MONDAY","16","0","0","0","0","1","1","Other","","0.7142792864482229","0.5406544504453575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","0.0","2.0","0.0","-1070.0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","-90.0","-2.0","-46.0","990000.0","495000.0","675000.0","315000.0","-2741.0","-1138.0","-1939.5","0.0","0.0","0.0","-18.0","-119.5","348007.5","174003.75","348007.5","0.0","0.0","0.0","0.0","0.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","52.0","1.0","247212.0","247212.0","247212.0","260811.0","260811.0","260811.0","1.0","0.0","0.0","0.0","-1070.0","-1070.0","-1070.0","0.0","0.0","27463.41","27463.41","247212.0","247212.0","8636.0","10.0","10.0","274492.08","27449.208","27463.41","274492.08","27449.208","27463.41","27321.39","-11.9","-5.0","0.0","1.0","1.0","0.0","10.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","-35.0","-25.0","10.0","10.0","5.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","1.0","0.0","0.0"
"100011","Cash loans","F","N","Y","0","112500.0","1019610.0","33826.5","913500.0","Children","Pensioner","Secondary / secondary special","Married","House / apartment","0.018634","-20099","","-7427.0","-3514","","1","0","0","1","0","0","","2.0","2","2","WEDNESDAY","14","0","0","0","0","0","0","XNA","0.5873340468730377","0.2057472880073281","0.7517237147741489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","0.0","1.0","0.0","0.0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","0.0","4.0","0.0","0.0","","","","435228.3","108807.075","145242.0","54000.0","-2508.0","-1309.0","-1773.0","0.0","0.0","0.0","-965.0","-1293.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","4.0","810931.5","202732.875","675000.0","1047361.5","261840.375","732915.0","3.0","1.0","0.0","0.0","-1162.0","-2508.0","-1784.5","6797.25","13594.5","18303.195","31295.25","270310.5","810931.5","342.25","14.0","30.0","1764843.03","13575.715615384615","46485.0","1472756.175","11328.893653846157","46485.0","449.685","3.1384615384615384","958.0","19.0","0.9076923076923076","0.0147487238478682","23.0","130.0","76.0","1.0","4031676.225","54482.11114864865","189000.0","164189.1891891892","180000.0","0.3026783952702702","1.05","180000.0","2432.4324324324325","180000.0","2432.4324324324325","334485.0","4520.067567567568","55485.0","54433.17912162162","189000.0","25.767123287671232","33.0","0.0","0.0","0.0","0.0","-75.0","-2.0","2.0","-83.0","-10.0","19.186666666666667","30.0","7.0","30.0","205.66666666666663","952.0","0.3466666666666667","9.0","35.0","3.0","73.0","2.0","0.0","0.0"
"100012","Revolving loans","M","N","Y","0","135000.0","405000.0","20250.0","405000.0","Unaccompanied","Working","Secondary / secondary special","Single / not married","House / apartment","0.0196889999999999","-14469","-2019.0","-14437.0","-3992","","1","1","0","1","0","0","Laborers","1.0","2","2","THURSDAY","8","0","0","0","0","0","0","Electricity","","0.7466436294590924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0","0.0","2.0","0.0","-1673.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0","243720.0","60930.0","135000.0","296478.0","74119.5","158508.0","3.0","0.0","1.0","0.0","-107.0","-1673.0","-779.75","0.0","0.0","7894.155","11188.035","81240.0","243720.0","9.75","18.0","24.0","460056.15","9584.503125","49204.89","501661.71","10451.285625","58687.245","5.85","-25.3125","14.0","5.0","1.0496210794810412","0.0019421827145738","5.0","48.0","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","-55.0","-5.0","19.02173913043478","24.0","10.217391304347826","23.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","3.0","0.0","0.0"
